ZONA PORTUARIA               ,Tipo de carga,EXPORTACION,IMPORTACIÓN,TRANSBORDO,TRANSITO INTERNACIONAL,VIGENCIA
CARTAGENA,GENERAL,262469,489230,19006,1662,2.019
CARTAGENA,GRANEL LIQUIDO,6035529,3500081,0,0,2.019
CARTAGENA,GRANEL SOLIDO DIFER. DE CARBON,1066773,1827171,0,0,2.019
CIENAGA,CARBON AL GRANEL,47495852,0,0,0,2.019
GOLFO MORROSQUILLO,CARBON AL GRANEL,164912,140024,0,0,2.019
GOLFO MORROSQUILLO,GENERAL,0,862,0,0,2.019
GOLFO MORROSQUILLO,GRANEL LIQUIDO,31961883,0,0,0,2.019
GOLFO MORROSQUILLO,GRANEL SOLIDO DIFER. DE CARBON,0,480480,0,0,2.019
GUAJIRA,CARBON AL GRANEL,27193643,0,0,0,2.019
GUAJIRA,CONTENEDORES,50,7054,0,0,2.019
GUAJIRA,GENERAL,138,79246,0,0,2.019
GUAJIRA,GRANEL LIQUIDO,0,220535,0,0,2.019
GUAJIRA,GRANEL SOLIDO DIFER. DE CARBON,0,122142,0,0,2.019
SAN ANDRES,CONTENEDORES,3861,35934,0,341,2.019
SAN ANDRES,GENERAL,0,1458,0,0,2.019
SAN ANDRES,GRANEL SOLIDO DIFER. DE CARBON,0,58465,0,0,2.019
SANTA MARTA,CARBON AL GRANEL,2357434,0,0,0,2.019
SANTA MARTA,CONTENEDORES,451683,875845,19636,0,2.019
SANTA MARTA,GENERAL,49839,188464,20784,0,2.019
SANTA MARTA,GRANEL LIQUIDO,320121,4835299,0,0,2.019
SANTA MARTA,GRANEL SOLIDO DIFER. DE CARBON,0,2527161,0,0,2.019
TUMACO,GRANEL LIQUIDO,288773,1303,0,0,2.019
TURBO,CONTENEDORES,458794,137880,0,0,2.019
TURBO,GENERAL,220075,1272,0,0,2.019
Z.P. RIO MAGDALENA,GRANEL SOLIDO DIFER. DE CARBON,13296,19078,0,0,2.019
BARRANQUILLA,CARBON AL GRANEL,94778889,0,0,0,2020
BARRANQUILLA,CONTENEDORES,219578,345374,291,1137,2020
BARRANQUILLA,GENERAL,14000,684327,0,0,2020
BARRANQUILLA,GRANEL LIQUIDO,248930,443059,0,0,2020
BARRANQUILLA,GRANEL SOLIDO DIFER. DE CARBON,4653,2277534,0,0,2020
BUENAVENTURA,CARBON AL GRANEL,378548,124188,0,0,2020
BUENAVENTURA,CONTENEDORES,1419797,2562874,362263,0,2020
BUENAVENTURA,GENERAL,38640,442942,19,1384,2020
BUENAVENTURA,GRANEL LIQUIDO,17107,310383,0,0,2020
BUENAVENTURA,GRANEL SOLIDO DIFER. DE CARBON,27671,2956932,0,0,2020
CARTAGENA,CARBON AL GRANEL,714618,0,0,0,2020
CARTAGENA,CONTENEDORES,1402749,2058356,9821961,131543,2020
CARTAGENA,GENERAL,130546,118661,9048,196,2020
CARTAGENA,GRANEL LIQUIDO,2591683,1536196,0,0,2020
CARTAGENA,GRANEL SOLIDO DIFER. DE CARBON,511116,652348,0,0,2020
CIENAGA,CARBON AL GRANEL,21811624,0,0,0,2020
GOLFO MORROSQUILLO,CARBON AL GRANEL,95306,40634,0,0,2020
GOLFO MORROSQUILLO,GRANEL LIQUIDO,16014664,0,0,0,2020
GOLFO MORROSQUILLO,GRANEL SOLIDO DIFER. DE CARBON,0,405057,0,0,2020
GUAJIRA,CARBON AL GRANEL,7556052,0,0,0,2020
GUAJIRA,CONTENEDORES,148,990,0,0,2020
GUAJIRA,GENERAL,185,5663,0,0,2020
GUAJIRA,GRANEL LIQUIDO,0,58318,0,0,2020
GUAJIRA,GRANEL SOLIDO DIFER. DE CARBON,0,13033,0,0,2020
SAN ANDRES,CONTENEDORES,2626,10705,0,0,2020
SAN ANDRES,GENERAL,0,361,0,0,2020
SAN ANDRES,GRANEL SOLIDO DIFER. DE CARBON,0,21448,0,0,2020
SANTA MARTA,CARBON AL GRANEL,492351,0,0,0,2020
SANTA MARTA,CONTENEDORES,161661,127208,5080,,2020
SANTA MARTA,GENERAL,7613,56601,11424,,2020
SANTA MARTA,GRANEL LIQUIDO,200215,1808635,0,0,2020
SANTA MARTA,GRANEL SOLIDO DIFER. DE CARBON,0,1258162,0,0,2020
TUMACO,GRANEL LIQUIDO,218973,0,0,0,2020
TURBO,CONTENEDORES,130751,34963,0,0,2020
TURBO,GENERAL,147105,161,0,0,2020
Z.P. RIO MAGDALENA,GENERAL,0,1676,0,0,2020
Z.P. RIO MAGDALENA,GRANEL SOLIDO DIFER. DE CARBON,0,15961,0,0,2020
